Aussaat_ID,Versuchsjahr,Termin,Parzelle_ID,Vorfrucht,Saatstaerke_Anzahl_m2,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID
3773,2017,2016-10-24T00:00:00,61,0,,,,,15
3774,2017,2016-10-24T00:00:00,62,0,,,,,15
3775,2017,2016-10-24T00:00:00,63,0,,,,,15
3776,2017,2016-10-24T00:00:00,64,0,,,,,15
3777,2018,2017-08-31T00:00:00,1,1,,,,,35
3778,2018,2017-08-31T00:00:00,2,1,,,,,35
3779,2018,2017-08-31T00:00:00,3,1,,,,,35
3780,2018,2017-08-31T00:00:00,4,1,,,,,35
3781,2018,2017-08-31T00:00:00,5,1,,,,,35
3782,2018,2017-08-31T00:00:00,6,1,,,,,35
3783,2018,2017-08-31T00:00:00,7,1,,,,,35
3784,2018,2017-08-31T00:00:00,8,1,,,,,35
3785,2018,2017-08-31T00:00:00,9,1,,,,,35
3786,2018,2017-08-31T00:00:00,10,1,,,,,35
3787,2018,2017-08-31T00:00:00,11,1,,,,,35
3788,2018,2017-08-31T00:00:00,12,1,,,,,35
3789,2018,2017-08-31T00:00:00,13,1,,,,,35
3790,2018,2017-08-31T00:00:00,14,1,,,,,35
3791,2018,2017-08-31T00:00:00,15,1,,,,,35
3792,2018,2017-08-31T00:00:00,16,1,,,,,35
3793,2018,2017-08-31T00:00:00,17,1,,,,,35
3794,2018,2017-08-31T00:00:00,18,1,,,,,35
3795,2018,2017-08-31T00:00:00,19,1,,,,,35
3796,2018,2017-08-31T00:00:00,20,1,,,,,35
3797,2018,2017-08-31T00:00:00,21,1,,,,,35
3798,2018,2017-08-31T00:00:00,22,1,,,,,35
3799,2018,2017-08-31T00:00:00,23,1,,,,,35
3800,2018,2017-08-31T00:00:00,24,1,,,,,35
3801,2018,2017-08-31T00:00:00,25,1,,,,,35
3802,2018,2017-08-31T00:00:00,26,1,,,,,35
3803,2018,2017-08-31T00:00:00,27,1,,,,,35
3804,2018,2017-08-31T00:00:00,28,1,,,,,35
3805,2018,2017-08-31T00:00:00,29,1,,,,,35
3806,2018,2017-08-31T00:00:00,30,1,,,,,35
3807,2018,2017-08-31T00:00:00,31,1,,,,,35
3808,2018,2017-08-31T00:00:00,32,1,,,,,35
3809,2018,2017-08-31T00:00:00,33,1,,,,,35
3810,2018,2017-08-31T00:00:00,34,1,,,,,35
3811,2018,2017-08-31T00:00:00,35,1,,,,,35
3812,2018,2017-08-31T00:00:00,36,1,,,,,35
3813,2018,2017-08-31T00:00:00,37,1,,,,,35
3814,2018,2017-08-31T00:00:00,38,1,,,,,35
3815,2018,2017-08-31T00:00:00,39,1,,,,,35
3816,2018,2017-08-31T00:00:00,40,1,,,,,35
3817,2018,2017-08-31T00:00:00,41,1,,,,,35
3818,2018,2017-08-31T00:00:00,42,1,,,,,35
3819,2018,2017-08-31T00:00:00,43,1,,,,,35
3820,2018,2017-08-31T00:00:00,44,1,,,,,35
3821,2018,2017-08-31T00:00:00,45,1,,,,,35
3822,2018,2017-08-31T00:00:00,46,1,,,,,35
3823,2018,2017-08-31T00:00:00,47,1,,,,,35
3824,2018,2017-08-31T00:00:00,48,1,,,,,35
3825,2018,2017-08-31T00:00:00,49,1,,,,,35
3826,2018,2017-08-31T00:00:00,50,1,,,,,35
3827,2018,2017-08-31T00:00:00,51,1,,,,,35
3828,2018,2017-08-31T00:00:00,52,1,,,,,35
3829,2018,2017-08-31T00:00:00,53,1,,,,,35
3830,2018,2017-08-31T00:00:00,54,1,,,,,35
3831,2018,2017-08-31T00:00:00,55,1,,,,,35
3832,2018,2017-08-31T00:00:00,56,1,,,,,35
3833,2018,2017-08-31T00:00:00,57,1,,,,,35
3834,2018,2017-08-31T00:00:00,58,1,,,,,35
3835,2018,2017-08-31T00:00:00,59,1,,,,,35
3836,2018,2017-08-31T00:00:00,60,1,,,,,35
3837,2018,2017-08-31T00:00:00,61,1,,,,,35
3838,2018,2017-08-31T00:00:00,62,1,,,,,35
3839,2018,2017-08-31T00:00:00,63,1,,,,,35
3840,2018,2017-08-31T00:00:00,64,1,,,,,35
3841,2018,2018-04-25T00:00:00,1,0,,,,,1
3842,2018,2018-04-25T00:00:00,2,0,,,,,1
3843,2018,2018-04-25T00:00:00,3,0,,,,,1
3844,2018,2018-04-25T00:00:00,4,0,,,,,1
3845,2018,2018-04-25T00:00:00,5,0,,,,,1
3846,2018,2018-04-25T00:00:00,6,0,,,,,1
3847,2018,2018-04-25T00:00:00,7,0,,,,,1
3848,2018,2018-04-25T00:00:00,8,0,,,,,1
3849,2018,2018-04-25T00:00:00,9,0,,,,,1
3850,2018,2018-04-25T00:00:00,10,0,,,,,1
3851,2018,2018-04-25T00:00:00,11,0,,,,,1
3852,2018,2018-04-25T00:00:00,12,0,,,,,1
3853,2018,2018-04-25T00:00:00,13,0,,,,,1
3854,2018,2018-04-25T00:00:00,14,0,,,,,1
3855,2018,2018-04-25T00:00:00,15,0,,,,,1
3856,2018,2018-04-25T00:00:00,16,0,,,,,1
3857,2018,2018-04-25T00:00:00,17,0,,,,,1
3858,2018,2018-04-25T00:00:00,18,0,,,,,1
3859,2018,2018-04-25T00:00:00,19,0,,,,,1
3860,2018,2018-04-25T00:00:00,20,0,,,,,1
3861,2018,2018-04-25T00:00:00,21,0,,,,,1
3862,2018,2018-04-25T00:00:00,22,0,,,,,1
3863,2018,2018-04-25T00:00:00,23,0,,,,,1
3864,2018,2018-04-25T00:00:00,24,0,,,,,1
3865,2018,2018-04-25T00:00:00,25,0,,,,,1
3866,2018,2018-04-25T00:00:00,26,0,,,,,1
3867,2018,2018-04-25T00:00:00,27,0,,,,,1
3868,2018,2018-04-25T00:00:00,28,0,,,,,1
3869,2018,2018-04-25T00:00:00,29,0,,,,,1
3870,2018,2018-04-25T00:00:00,30,0,,,,,1
3871,2018,2018-04-25T00:00:00,31,0,,,,,1
3872,2018,2018-04-25T00:00:00,32,0,,,,,1
3873,2018,2018-04-25T00:00:00,33,0,,,,,1
3874,2018,2018-04-25T00:00:00,34,0,,,,,1
3875,2018,2018-04-25T00:00:00,35,0,,,,,1
3876,2018,2018-04-25T00:00:00,36,0,,,,,1
3877,2018,2018-04-25T00:00:00,37,0,,,,,1
3878,2018,2018-04-25T00:00:00,38,0,,,,,1
3879,2018,2018-04-25T00:00:00,39,0,,,,,1
3880,2018,2018-04-25T00:00:00,40,0,,,,,1
3881,2018,2018-04-25T00:00:00,41,0,,,,,1
3882,2018,2018-04-25T00:00:00,42,0,,,,,1
3883,2018,2018-04-25T00:00:00,43,0,,,,,1
3884,2018,2018-04-25T00:00:00,44,0,,,,,1
3885,2018,2018-04-25T00:00:00,45,0,,,,,1
3886,2018,2018-04-25T00:00:00,46,0,,,,,1
3887,2018,2018-04-25T00:00:00,47,0,,,,,1
3888,2018,2018-04-25T00:00:00,48,0,,,,,1
3889,2018,2018-04-25T00:00:00,49,0,,,,,1
3890,2018,2018-04-25T00:00:00,50,0,,,,,1
3891,2018,2018-04-25T00:00:00,51,0,,,,,1
3892,2018,2018-04-25T00:00:00,52,0,,,,,1
3893,2018,2018-04-25T00:00:00,53,0,,,,,1
3894,2018,2018-04-25T00:00:00,54,0,,,,,1
3895,2018,2018-04-25T00:00:00,55,0,,,,,1
3896,2018,2018-04-25T00:00:00,56,0,,,,,1
3897,2018,2018-04-25T00:00:00,57,0,,,,,1
3898,2018,2018-04-25T00:00:00,58,0,,,,,1
3899,2018,2018-04-25T00:00:00,59,0,,,,,1
3900,2018,2018-04-25T00:00:00,60,0,,,,,1
3901,2018,2018-04-25T00:00:00,61,0,,,,,1
3902,2018,2018-04-25T00:00:00,62,0,,,,,1
3903,2018,2018-04-25T00:00:00,63,0,,,,,1
3904,2018,2018-04-25T00:00:00,64,0,,,,,1
3905,2019,2018-10-11T00:00:00,1,0,,,,,2
3906,2019,2018-10-11T00:00:00,2,0,,,,,2
3907,2019,2018-10-11T00:00:00,3,0,,,,,2
3908,2019,2018-10-11T00:00:00,4,0,,,,,2
3909,2019,2018-10-11T00:00:00,5,0,,,,,2
3910,2019,2018-10-11T00:00:00,6,0,,,,,2
3911,2019,2018-10-11T00:00:00,7,0,,,,,2
3912,2019,2018-10-11T00:00:00,8,0,,,,,2
3913,2019,2018-10-11T00:00:00,9,0,,,,,2
3914,2019,2018-10-11T00:00:00,10,0,,,,,2
3915,2019,2018-10-11T00:00:00,11,0,,,,,2
3916,2019,2018-10-11T00:00:00,12,0,,,,,2
3917,2019,2018-10-11T00:00:00,13,0,,,,,2
3918,2019,2018-10-11T00:00:00,14,0,,,,,2
3919,2019,2018-10-11T00:00:00,15,0,,,,,2
3920,2019,2018-10-11T00:00:00,16,0,,,,,2
3921,2019,2018-10-11T00:00:00,17,0,,,,,2
3922,2019,2018-10-11T00:00:00,18,0,,,,,2
3923,2019,2018-10-11T00:00:00,19,0,,,,,2
3924,2019,2018-10-11T00:00:00,20,0,,,,,2
3925,2019,2018-10-11T00:00:00,21,0,,,,,2
3926,2019,2018-10-11T00:00:00,22,0,,,,,2
3927,2019,2018-10-11T00:00:00,23,0,,,,,2
3928,2019,2018-10-11T00:00:00,24,0,,,,,2
3929,2019,2018-10-11T00:00:00,25,0,,,,,2
3930,2019,2018-10-11T00:00:00,26,0,,,,,2
3931,2019,2018-10-11T00:00:00,27,0,,,,,2
3932,2019,2018-10-11T00:00:00,28,0,,,,,2
3933,2019,2018-10-11T00:00:00,29,0,,,,,2
3934,2019,2018-10-11T00:00:00,30,0,,,,,2
3935,2019,2018-10-11T00:00:00,31,0,,,,,2
3936,2019,2018-10-11T00:00:00,32,0,,,,,2
3937,2019,2018-10-11T00:00:00,33,0,,,,,2
3938,2019,2018-10-11T00:00:00,34,0,,,,,2
3939,2019,2018-10-11T00:00:00,35,0,,,,,2
3940,2019,2018-10-11T00:00:00,36,0,,,,,2
3941,2019,2018-10-11T00:00:00,37,0,,,,,2
3942,2019,2018-10-11T00:00:00,38,0,,,,,2
3943,2019,2018-10-11T00:00:00,39,0,,,,,2
3944,2019,2018-10-11T00:00:00,40,0,,,,,2
3945,2019,2018-10-11T00:00:00,41,0,,,,,2
3946,2019,2018-10-11T00:00:00,42,0,,,,,2
3947,2019,2018-10-11T00:00:00,43,0,,,,,2
3948,2019,2018-10-11T00:00:00,44,0,,,,,2
3949,2019,2018-10-11T00:00:00,45,0,,,,,2
3950,2019,2018-10-11T00:00:00,46,0,,,,,2
3951,2019,2018-10-11T00:00:00,47,0,,,,,2
3952,2019,2018-10-11T00:00:00,48,0,,,,,2
3953,2019,2018-10-11T00:00:00,49,0,,,,,2
3954,2019,2018-10-11T00:00:00,50,0,,,,,2
3955,2019,2018-10-11T00:00:00,51,0,,,,,2
3956,2019,2018-10-11T00:00:00,52,0,,,,,2
3957,2019,2018-10-11T00:00:00,53,0,,,,,2
3958,2019,2018-10-11T00:00:00,54,0,,,,,2
3959,2019,2018-10-11T00:00:00,55,0,,,,,2
3960,2019,2018-10-11T00:00:00,56,0,,,,,2
3961,2019,2018-10-11T00:00:00,57,0,,,,,2
3962,2019,2018-10-11T00:00:00,58,0,,,,,2
3963,2019,2018-10-11T00:00:00,59,0,,,,,2
3964,2019,2018-10-11T00:00:00,60,0,,,,,2
3965,2019,2018-10-11T00:00:00,61,0,,,,,2
3966,2019,2018-10-11T00:00:00,62,0,,,,,2
3967,2019,2018-10-11T00:00:00,63,0,,,,,2
3968,2019,2018-10-11T00:00:00,64,0,,,,,2
3969,2020,2020-03-31T00:00:00,1,0,350,,,,27
3970,2020,2020-03-31T00:00:00,2,0,350,,,,27
3971,2020,2020-03-31T00:00:00,3,0,350,,,,27
3972,2020,2020-03-31T00:00:00,4,0,350,,,,27
3973,2020,2020-03-31T00:00:00,5,0,350,,,,27
3974,2020,2020-03-31T00:00:00,6,0,350,,,,27
3975,2020,2020-03-31T00:00:00,7,0,350,,,,27
3976,2020,2020-03-31T00:00:00,8,0,350,,,,27
3977,2020,2020-03-31T00:00:00,9,0,350,,,,27
3978,2020,2020-03-31T00:00:00,10,0,350,,,,27
3979,2020,2020-03-31T00:00:00,11,0,350,,,,27
3980,2020,2020-03-31T00:00:00,12,0,350,,,,27
3981,2020,2020-03-31T00:00:00,13,0,350,,,,27
3982,2020,2020-03-31T00:00:00,14,0,350,,,,27
3983,2020,2020-03-31T00:00:00,15,0,350,,,,27
3984,2020,2020-03-31T00:00:00,16,0,350,,,,27
3985,2020,2020-03-31T00:00:00,17,0,350,,,,27
3986,2020,2020-03-31T00:00:00,18,0,350,,,,27
3987,2020,2020-03-31T00:00:00,19,0,350,,,,27
3988,2020,2020-03-31T00:00:00,20,0,350,,,,27
3989,2020,2020-03-31T00:00:00,21,0,350,,,,27
3990,2020,2020-03-31T00:00:00,22,0,350,,,,27
3991,2020,2020-03-31T00:00:00,23,0,350,,,,27
3992,2020,2020-03-31T00:00:00,24,0,350,,,,27
3993,2020,2020-03-31T00:00:00,25,0,350,,,,27
3994,2020,2020-03-31T00:00:00,26,0,350,,,,27
3995,2020,2020-03-31T00:00:00,27,0,350,,,,27
3996,2020,2020-03-31T00:00:00,28,0,350,,,,27
3997,2020,2020-03-31T00:00:00,29,0,350,,,,27
3998,2020,2020-03-31T00:00:00,30,0,350,,,,27
3999,2020,2020-03-31T00:00:00,31,0,350,,,,27
4000,2020,2020-03-31T00:00:00,32,0,350,,,,27
4001,2020,2020-03-31T00:00:00,33,0,350,,,,27
4002,2020,2020-03-31T00:00:00,34,0,350,,,,27
4003,2020,2020-03-31T00:00:00,35,0,350,,,,27
4004,2020,2020-03-31T00:00:00,36,0,350,,,,27
4005,2020,2020-03-31T00:00:00,37,0,350,,,,27
4006,2020,2020-03-31T00:00:00,38,0,350,,,,27
4007,2020,2020-03-31T00:00:00,39,0,350,,,,27
4008,2020,2020-03-31T00:00:00,40,0,350,,,,27
4009,2020,2020-03-31T00:00:00,41,0,350,,,,27
4010,2020,2020-03-31T00:00:00,42,0,350,,,,27
4011,2020,2020-03-31T00:00:00,43,0,350,,,,27
4012,2020,2020-03-31T00:00:00,44,0,350,,,,27
4013,2020,2020-03-31T00:00:00,45,0,350,,,,27
4014,2020,2020-03-31T00:00:00,46,0,350,,,,27
4015,2020,2020-03-31T00:00:00,47,0,350,,,,27
4016,2020,2020-03-31T00:00:00,48,0,350,,,,27
4017,2020,2020-03-31T00:00:00,49,0,350,,,,27
4018,2020,2020-03-31T00:00:00,50,0,350,,,,27
4019,2020,2020-03-31T00:00:00,51,0,350,,,,27
4020,2020,2020-03-31T00:00:00,52,0,350,,,,27
4021,2020,2020-03-31T00:00:00,53,0,350,,,,27
4022,2020,2020-03-31T00:00:00,54,0,350,,,,27
4023,2020,2020-03-31T00:00:00,55,0,350,,,,27
4024,2020,2020-03-31T00:00:00,56,0,350,,,,27
4025,2020,2020-03-31T00:00:00,57,0,350,,,,27
4026,2020,2020-03-31T00:00:00,58,0,350,,,,27
4027,2020,2020-03-31T00:00:00,59,0,350,,,,27
4028,2020,2020-03-31T00:00:00,60,0,350,,,,27
4029,2020,2020-03-31T00:00:00,61,0,350,,,,27
4030,2020,2020-03-31T00:00:00,62,0,350,,,,27
4031,2020,2020-03-31T00:00:00,63,0,350,,,,27
4032,2020,2020-03-31T00:00:00,64,0,350,,,,27
4033,2021,2020-09-16T00:00:00,1,0,350,,,,36
4034,2021,2020-09-16T00:00:00,2,0,350,,,,36
4035,2021,2020-09-16T00:00:00,3,0,350,,,,36
4036,2021,2020-09-16T00:00:00,4,0,350,,,,36
4037,2021,2020-09-16T00:00:00,5,0,350,,,,36
4038,2021,2020-09-16T00:00:00,6,0,350,,,,36
4039,2021,2020-09-16T00:00:00,7,0,350,,,,36
4040,2021,2020-09-16T00:00:00,8,0,350,,,,36
4041,2021,2020-09-16T00:00:00,9,0,350,,,,36
4042,2021,2020-09-16T00:00:00,10,0,350,,,,36
4043,2021,2020-09-16T00:00:00,11,0,350,,,,36
4044,2021,2020-09-16T00:00:00,12,0,350,,,,36
4045,2021,2020-09-16T00:00:00,13,0,350,,,,36
4046,2021,2020-09-16T00:00:00,14,0,350,,,,36
4047,2021,2020-09-16T00:00:00,15,0,350,,,,36
4048,2021,2020-09-16T00:00:00,16,0,350,,,,36
4049,2021,2020-09-16T00:00:00,17,0,350,,,,36
4050,2021,2020-09-16T00:00:00,18,0,350,,,,36
4051,2021,2020-09-16T00:00:00,19,0,350,,,,36
