Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID
3470,2019,2019-08-05T00:00:00,46,2
3471,2019,2019-08-05T00:00:00,47,2
3472,2019,2019-08-05T00:00:00,48,2
3473,2019,2019-08-05T00:00:00,49,2
3474,2019,2019-08-05T00:00:00,50,2
3475,2019,2019-08-05T00:00:00,51,2
3476,2019,2019-08-05T00:00:00,52,2
3477,2019,2019-08-05T00:00:00,53,2
3478,2019,2019-08-05T00:00:00,54,2
3479,2019,2019-08-05T00:00:00,55,2
3480,2019,2019-08-05T00:00:00,56,2
3481,2019,2019-08-05T00:00:00,57,2
3482,2019,2019-08-05T00:00:00,58,2
3483,2019,2019-08-05T00:00:00,59,2
3484,2019,2019-08-05T00:00:00,60,2
3485,2019,2019-08-05T00:00:00,61,2
3486,2019,2019-08-05T00:00:00,62,2
3487,2019,2019-08-05T00:00:00,63,2
3488,2019,2019-08-05T00:00:00,64,2
3489,2020,2020-08-26T00:00:00,1,27
3490,2020,2020-08-26T00:00:00,2,27
3491,2020,2020-08-26T00:00:00,3,27
3492,2020,2020-08-26T00:00:00,4,27
3493,2020,2020-08-26T00:00:00,5,27
3494,2020,2020-08-26T00:00:00,6,27
3495,2020,2020-08-26T00:00:00,7,27
3496,2020,2020-08-26T00:00:00,8,27
3497,2020,2020-08-26T00:00:00,9,27
3498,2020,2020-08-26T00:00:00,10,27
3499,2020,2020-08-26T00:00:00,11,27
3500,2020,2020-08-26T00:00:00,12,27
3501,2020,2020-08-26T00:00:00,13,27
3502,2020,2020-08-26T00:00:00,14,27
3503,2020,2020-08-26T00:00:00,15,27
3504,2020,2020-08-26T00:00:00,16,27
3505,2020,2020-08-26T00:00:00,17,27
3506,2020,2020-08-26T00:00:00,18,27
3507,2020,2020-08-26T00:00:00,19,27
3508,2020,2020-08-26T00:00:00,20,27
3509,2020,2020-08-26T00:00:00,21,27
3510,2020,2020-08-26T00:00:00,22,27
3511,2020,2020-08-26T00:00:00,23,27
3512,2020,2020-08-26T00:00:00,24,27
3513,2020,2020-08-26T00:00:00,25,27
3514,2020,2020-08-26T00:00:00,26,27
3515,2020,2020-08-26T00:00:00,27,27
3516,2020,2020-08-26T00:00:00,28,27
3517,2020,2020-08-26T00:00:00,29,27
3518,2020,2020-08-26T00:00:00,30,27
3519,2020,2020-08-26T00:00:00,31,27
3520,2020,2020-08-26T00:00:00,32,27
3521,2020,2020-08-26T00:00:00,33,27
3522,2020,2020-08-26T00:00:00,34,27
3523,2020,2020-08-26T00:00:00,35,27
3524,2020,2020-08-26T00:00:00,36,27
3525,2020,2020-08-26T00:00:00,37,27
3526,2020,2020-08-26T00:00:00,38,27
3527,2020,2020-08-26T00:00:00,39,27
3528,2020,2020-08-26T00:00:00,40,27
3529,2020,2020-08-26T00:00:00,41,27
3530,2020,2020-08-26T00:00:00,42,27
3531,2020,2020-08-26T00:00:00,43,27
3532,2020,2020-08-26T00:00:00,44,27
3533,2020,2020-08-26T00:00:00,45,27
3534,2020,2020-08-26T00:00:00,46,27
3535,2020,2020-08-26T00:00:00,47,27
3536,2020,2020-08-26T00:00:00,48,27
3537,2020,2020-08-26T00:00:00,49,27
3538,2020,2020-08-26T00:00:00,50,27
3539,2020,2020-08-26T00:00:00,51,27
3540,2020,2020-08-26T00:00:00,52,27
3541,2020,2020-08-26T00:00:00,53,27
3542,2020,2020-08-26T00:00:00,54,27
3543,2020,2020-08-26T00:00:00,55,27
3544,2020,2020-08-26T00:00:00,56,27
3545,2020,2020-08-26T00:00:00,57,27
3546,2020,2020-08-26T00:00:00,58,27
3547,2020,2020-08-26T00:00:00,59,27
3548,2020,2020-08-26T00:00:00,60,27
3549,2020,2020-08-26T00:00:00,61,27
3550,2020,2020-08-26T00:00:00,62,27
3551,2020,2020-08-26T00:00:00,63,27
3552,2020,2020-08-26T00:00:00,64,27
3553,2021,2021-07-13T00:00:00,1,36
3554,2021,2021-07-13T00:00:00,2,36
3555,2021,2021-07-13T00:00:00,3,36
3556,2021,2021-07-13T00:00:00,4,36
3557,2021,2021-07-13T00:00:00,5,36
3558,2021,2021-07-13T00:00:00,6,36
3559,2021,2021-07-13T00:00:00,7,36
3560,2021,2021-07-13T00:00:00,8,36
