Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Mittelpunkt_x_GK,Mittelpunkt_y_GK,Beginn,Ende
75,75,6,1,471.52,471.77,4477201.346,5362914.041,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
76,76,6,8,471.82,472.06,4477200.66,5362918.051,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
77,77,5,2,471.05,471.32,4477194.782,5362904.755,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
78,78,5,9,471.33,471.66,4477194.113,5362908.766,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
79,79,6,5,471.6,471.93,4477193.466,5362912.716,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
80,80,6,12,471.9,472.16,4477192.78,5362916.726,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
81,81,5,6,471.23,471.51,4477186.909,5362903.423,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
82,82,5,13,471.51,471.7,4477186.252,5362907.428,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
83,83,6,2,471.71,472,4477185.593,5362911.384,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
84,84,6,9,472.01,472.27,4477184.907,5362915.394,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
85,85,5,3,471.45,471.63,4477179.039,5362902.105,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
86,86,5,10,471.65,471.88,4477178.383,5362906.11,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
87,87,6,6,471.92,472.15,4477177.723,5362910.066,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
88,88,6,13,472.2,472.35,4477177.038,5362914.076,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
89,89,5,7,471.48,471.71,4477171.151,5362900.766,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
90,90,5,14,471.78,472,4477170.495,5362904.771,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
91,91,6,3,471.94,472.32,4477169.835,5362908.728,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
92,92,6,10,472.26,472.58,4477169.15,5362912.737,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
93,93,5,15,471.6,471.83,4477163.26,5362899.45,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
94,94,5,15,471.79,472.07,4477162.603,5362903.455,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
95,95,6,7,472.08,472.43,4477161.944,5362907.412,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
96,96,6,14,472.38,472.62,4477161.258,5362911.422,1978-04-10T00:00:00,2006-21-09 00:00:00.0000000
