Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID
3346,2017,2017-08-07T00:00:00,50
3347,2017,2017-08-07T00:00:00,51
3348,2017,2017-08-07T00:00:00,52
3349,2017,2017-08-07T00:00:00,53
3350,2017,2017-08-07T00:00:00,54
3351,2017,2017-08-07T00:00:00,55
3352,2017,2017-08-07T00:00:00,56
3353,2017,2017-08-07T00:00:00,57
3354,2017,2017-08-07T00:00:00,58
3355,2017,2017-08-07T00:00:00,59
3356,2017,2017-08-07T00:00:00,60
3357,2017,2017-08-07T00:00:00,61
3358,2017,2017-08-07T00:00:00,62
3359,2017,2017-08-07T00:00:00,63
3360,2017,2017-08-07T00:00:00,64
3361,2018,2018-09-26T00:00:00,1
3362,2018,2018-09-26T00:00:00,2
3363,2018,2018-09-26T00:00:00,3
3364,2018,2018-09-26T00:00:00,4
3365,2018,2018-09-26T00:00:00,5
3366,2018,2018-09-26T00:00:00,6
3367,2018,2018-09-26T00:00:00,7
3368,2018,2018-09-26T00:00:00,8
3369,2018,2018-09-26T00:00:00,9
3370,2018,2018-09-26T00:00:00,10
3371,2018,2018-09-26T00:00:00,11
3372,2018,2018-09-26T00:00:00,12
3373,2018,2018-09-26T00:00:00,13
3374,2018,2018-09-26T00:00:00,14
3375,2018,2018-09-26T00:00:00,15
3376,2018,2018-09-26T00:00:00,16
3377,2018,2018-09-26T00:00:00,17
3378,2018,2018-09-26T00:00:00,18
3379,2018,2018-09-26T00:00:00,19
3380,2018,2018-09-26T00:00:00,20
3381,2018,2018-09-26T00:00:00,21
3382,2018,2018-09-26T00:00:00,22
3383,2018,2018-09-26T00:00:00,23
3384,2018,2018-09-26T00:00:00,24
3385,2018,2018-09-26T00:00:00,25
3386,2018,2018-09-26T00:00:00,26
3387,2018,2018-09-26T00:00:00,27
3388,2018,2018-09-26T00:00:00,28
3389,2018,2018-09-26T00:00:00,29
3390,2018,2018-09-26T00:00:00,30
3391,2018,2018-09-26T00:00:00,31
3392,2018,2018-09-26T00:00:00,32
3393,2018,2018-09-26T00:00:00,33
3394,2018,2018-09-26T00:00:00,34
3395,2018,2018-09-26T00:00:00,35
3396,2018,2018-09-26T00:00:00,36
3397,2018,2018-09-26T00:00:00,37
3398,2018,2018-09-26T00:00:00,38
3399,2018,2018-09-26T00:00:00,39
3400,2018,2018-09-26T00:00:00,40
3401,2018,2018-09-26T00:00:00,41
3402,2018,2018-09-26T00:00:00,42
3403,2018,2018-09-26T00:00:00,43
3404,2018,2018-09-26T00:00:00,44
3405,2018,2018-09-26T00:00:00,45
3406,2018,2018-09-26T00:00:00,46
3407,2018,2018-09-26T00:00:00,47
3408,2018,2018-09-26T00:00:00,48
3409,2018,2018-09-26T00:00:00,49
3410,2018,2018-09-26T00:00:00,50
3411,2018,2018-09-26T00:00:00,51
3412,2018,2018-09-26T00:00:00,52
3413,2018,2018-09-26T00:00:00,53
3414,2018,2018-09-26T00:00:00,54
3415,2018,2018-09-26T00:00:00,55
3416,2018,2018-09-26T00:00:00,56
3417,2018,2018-09-26T00:00:00,57
3418,2018,2018-09-26T00:00:00,58
3419,2018,2018-09-26T00:00:00,59
3420,2018,2018-09-26T00:00:00,60
3421,2018,2018-09-26T00:00:00,61
3422,2018,2018-09-26T00:00:00,62
3423,2018,2018-09-26T00:00:00,63
3424,2018,2018-09-26T00:00:00,64
3425,2019,2019-08-05T00:00:00,1
3426,2019,2019-08-05T00:00:00,2
3427,2019,2019-08-05T00:00:00,3
3428,2019,2019-08-05T00:00:00,4
3429,2019,2019-08-05T00:00:00,5
3430,2019,2019-08-05T00:00:00,6
3431,2019,2019-08-05T00:00:00,7
3432,2019,2019-08-05T00:00:00,8
3433,2019,2019-08-05T00:00:00,9
3434,2019,2019-08-05T00:00:00,10
3435,2019,2019-08-05T00:00:00,11
3436,2019,2019-08-05T00:00:00,12
3437,2019,2019-08-05T00:00:00,13
3438,2019,2019-08-05T00:00:00,14
3439,2019,2019-08-05T00:00:00,15
3440,2019,2019-08-05T00:00:00,16
3441,2019,2019-08-05T00:00:00,17
3442,2019,2019-08-05T00:00:00,18
3443,2019,2019-08-05T00:00:00,19
3444,2019,2019-08-05T00:00:00,20
3445,2019,2019-08-05T00:00:00,21
3446,2019,2019-08-05T00:00:00,22
3447,2019,2019-08-05T00:00:00,23
3448,2019,2019-08-05T00:00:00,24
3449,2019,2019-08-05T00:00:00,25
3450,2019,2019-08-05T00:00:00,26
3451,2019,2019-08-05T00:00:00,27
3452,2019,2019-08-05T00:00:00,28
3453,2019,2019-08-05T00:00:00,29
3454,2019,2019-08-05T00:00:00,30
3455,2019,2019-08-05T00:00:00,31
3456,2019,2019-08-05T00:00:00,32
3457,2019,2019-08-05T00:00:00,33
3458,2019,2019-08-05T00:00:00,34
3459,2019,2019-08-05T00:00:00,35
3460,2019,2019-08-05T00:00:00,36
3461,2019,2019-08-05T00:00:00,37
3462,2019,2019-08-05T00:00:00,38
3463,2019,2019-08-05T00:00:00,39
3464,2019,2019-08-05T00:00:00,40
3465,2019,2019-08-05T00:00:00,41
3466,2019,2019-08-05T00:00:00,42
3467,2019,2019-08-05T00:00:00,43
3468,2019,2019-08-05T00:00:00,44
3469,2019,2019-08-05T00:00:00,45
3470,2019,2019-08-05T00:00:00,46
3471,2019,2019-08-05T00:00:00,47
3472,2019,2019-08-05T00:00:00,48
3473,2019,2019-08-05T00:00:00,49
3474,2019,2019-08-05T00:00:00,50
3475,2019,2019-08-05T00:00:00,51
3476,2019,2019-08-05T00:00:00,52
3477,2019,2019-08-05T00:00:00,53
3478,2019,2019-08-05T00:00:00,54
3479,2019,2019-08-05T00:00:00,55
3480,2019,2019-08-05T00:00:00,56
3481,2019,2019-08-05T00:00:00,57
3482,2019,2019-08-05T00:00:00,58
3483,2019,2019-08-05T00:00:00,59
3484,2019,2019-08-05T00:00:00,60
3485,2019,2019-08-05T00:00:00,61
3486,2019,2019-08-05T00:00:00,62
3487,2019,2019-08-05T00:00:00,63
3488,2019,2019-08-05T00:00:00,64
3489,2020,2020-08-26T00:00:00,1
3490,2020,2020-08-26T00:00:00,2
3491,2020,2020-08-26T00:00:00,3
3492,2020,2020-08-26T00:00:00,4
3493,2020,2020-08-26T00:00:00,5
3494,2020,2020-08-26T00:00:00,6
3495,2020,2020-08-26T00:00:00,7
3496,2020,2020-08-26T00:00:00,8
3497,2020,2020-08-26T00:00:00,9
3498,2020,2020-08-26T00:00:00,10
3499,2020,2020-08-26T00:00:00,11
3500,2020,2020-08-26T00:00:00,12
3501,2020,2020-08-26T00:00:00,13
3502,2020,2020-08-26T00:00:00,14
3503,2020,2020-08-26T00:00:00,15
3504,2020,2020-08-26T00:00:00,16
3505,2020,2020-08-26T00:00:00,17
3506,2020,2020-08-26T00:00:00,18
3507,2020,2020-08-26T00:00:00,19
3508,2020,2020-08-26T00:00:00,20
3509,2020,2020-08-26T00:00:00,21
3510,2020,2020-08-26T00:00:00,22
3511,2020,2020-08-26T00:00:00,23
3512,2020,2020-08-26T00:00:00,24
3513,2020,2020-08-26T00:00:00,25
3514,2020,2020-08-26T00:00:00,26
3515,2020,2020-08-26T00:00:00,27
3516,2020,2020-08-26T00:00:00,28
3517,2020,2020-08-26T00:00:00,29
3518,2020,2020-08-26T00:00:00,30
3519,2020,2020-08-26T00:00:00,31
3520,2020,2020-08-26T00:00:00,32
3521,2020,2020-08-26T00:00:00,33
3522,2020,2020-08-26T00:00:00,34
3523,2020,2020-08-26T00:00:00,35
3524,2020,2020-08-26T00:00:00,36
3525,2020,2020-08-26T00:00:00,37
3526,2020,2020-08-26T00:00:00,38
3527,2020,2020-08-26T00:00:00,39
3528,2020,2020-08-26T00:00:00,40
3529,2020,2020-08-26T00:00:00,41
3530,2020,2020-08-26T00:00:00,42
3531,2020,2020-08-26T00:00:00,43
3532,2020,2020-08-26T00:00:00,44
3533,2020,2020-08-26T00:00:00,45
3534,2020,2020-08-26T00:00:00,46
3535,2020,2020-08-26T00:00:00,47
3536,2020,2020-08-26T00:00:00,48
3537,2020,2020-08-26T00:00:00,49
