Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3356,3356,98.93,83.1,2.43,,,,,,37.3,,,,,,,,,
3357,3357,79.37,86.3,1.89,,,,,,41,,,,,,,,,
3358,3358,93.31,85.7,2.19,,,,,,40.8,,,,,,,,,
3359,3359,50.36,85.8,1.89,,,,,,37.5,,,,,,,,,
3360,3360,69.34,85.7,1.97,,,,,,38.7,,,,,,,,,
3361,3361,67.76,76.47,1.14,,,,,44.14,,,,,,,,,,
3362,3362,64.55,75.2,1.23,,,,,44.27,,,,,,,,,,
3363,3363,104.38,77.39,1.37,,,,,44.44,,,,,,,,,,
3364,3364,119.56,76.95,1.53,,,,,44.87,,,,,,,,,,
3365,3365,106.67,77.27,1.39,,,,,44.44,,,,,,,,,,
3366,3366,112.7,76.84,1.5,,,,,44.28,,,,,,,,,,
3367,3367,94.56,76.77,1.41,,,,,44.69,,,,,,,,,,
3368,3368,108.47,76.64,1.48,,,,,44.43,,,,,,,,,,
3369,3369,107.2,76.8,1.37,,,,,44.34,,,,,,,,,,
3370,3370,127.4,76.49,1.55,,,,,44.32,,,,,,,,,,
3371,3371,108.46,78.1,1.39,,,,,44.25,,,,,,,,,,
3372,3372,123.23,77.07,1.56,,,,,44.3,,,,,,,,,,
3373,3373,112.51,78.75,1.33,,,,,44.21,,,,,,,,,,
3374,3374,116.31,77.09,1.56,,,,,44.53,,,,,,,,,,
3375,3375,101.99,77.69,1.36,,,,,44.23,,,,,,,,,,
3376,3376,114.56,76.5,1.49,,,,,44.26,,,,,,,,,,
3377,3377,111.77,77.95,1.37,,,,,44.49,,,,,,,,,,
3378,3378,115.58,76.2,1.59,,,,,44.58,,,,,,,,,,
