Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
4015,2020,47,8,5
4016,2020,48,8,12
4017,2020,49,8,3
4018,2020,50,8,10
4019,2020,51,8,15
4020,2020,52,8,15
4021,2020,53,8,1
4022,2020,54,8,8
4023,2020,55,8,2
4024,2020,56,8,9
4025,2020,57,8,7
4026,2020,58,8,14
4027,2020,59,8,4
4028,2020,60,8,11
4029,2020,61,8,5
4030,2020,62,8,12
4031,2020,63,8,6
4032,2020,64,8,13
4033,2021,1,5,15
4034,2021,2,5,15
4035,2021,3,5,1
4036,2021,4,5,8
4037,2021,5,5,2
4038,2021,6,5,9
4039,2021,7,5,3
4040,2021,8,5,10
4041,2021,9,5,4
4042,2021,10,5,11
4043,2021,11,5,5
4044,2021,12,5,12
4045,2021,13,5,6
4046,2021,14,5,13
4047,2021,15,5,7
4048,2021,16,5,14
4049,2021,17,5,1
4050,2021,18,5,8
4051,2021,19,5,2
4052,2021,20,5,9
4053,2021,21,5,3
4054,2021,22,5,10
4055,2021,23,5,15
4056,2021,24,5,15
4057,2021,25,5,5
4058,2021,26,5,12
4059,2021,27,5,6
4060,2021,28,5,13
4061,2021,29,5,7
4062,2021,30,5,14
4063,2021,31,5,4
4064,2021,32,5,11
4065,2021,33,5,2
4066,2021,34,5,9
4067,2021,35,5,3
4068,2021,36,5,10
4069,2021,37,5,15
4070,2021,38,5,15
4071,2021,39,5,1
4072,2021,40,5,8
4073,2021,41,5,6
4074,2021,42,5,13
4075,2021,43,5,7
4076,2021,44,5,14
4077,2021,45,5,4
4078,2021,46,5,11
4079,2021,47,5,5
4080,2021,48,5,12
4081,2021,49,5,3
4082,2021,50,5,10
4083,2021,51,5,15
4084,2021,52,5,15
4085,2021,53,5,1
4086,2021,54,5,8
4087,2021,55,5,2
4088,2021,56,5,9
4089,2021,57,5,7
4090,2021,58,5,14
4091,2021,59,5,4
4092,2021,60,5,11
4093,2021,61,5,5
4094,2021,62,5,12
4095,2021,63,5,6
4096,2021,64,5,13
4097,2022,1,1,15
4098,2022,2,1,15
4099,2022,3,1,1
4100,2022,4,1,8
4101,2022,5,1,2
4102,2022,6,1,9
4103,2022,7,1,3
4104,2022,8,1,10
4105,2022,9,1,4
4106,2022,10,1,11
4107,2022,11,1,5
4108,2022,12,1,12
4109,2022,13,1,6
4110,2022,14,1,13
4111,2022,15,1,7
4112,2022,16,1,14
4113,2022,17,1,1
4114,2022,18,1,8
4115,2022,19,1,2
4116,2022,20,1,9
4117,2022,21,1,3
4118,2022,22,1,10
4119,2022,23,1,15
4120,2022,24,1,15
4121,2022,25,1,5
4122,2022,26,1,12
4123,2022,27,1,6
4124,2022,28,1,13
4125,2022,29,1,7
4126,2022,30,1,14
4127,2022,31,1,4
4128,2022,32,1,11
4129,2022,33,1,2
4130,2022,34,1,9
4131,2022,35,1,3
4132,2022,36,1,10
4133,2022,37,1,15
4134,2022,38,1,15
4135,2022,39,1,1
4136,2022,40,1,8
4137,2022,41,1,6
4138,2022,42,1,13
4139,2022,43,1,7
4140,2022,44,1,14
4141,2022,45,1,4
4142,2022,46,1,11
4143,2022,47,1,5
4144,2022,48,1,12
4145,2022,49,1,3
4146,2022,50,1,10
4147,2022,51,1,15
4148,2022,52,1,15
4149,2022,53,1,1
4150,2022,54,1,8
4151,2022,55,1,2
4152,2022,56,1,9
4153,2022,57,1,7
4154,2022,58,1,14
4155,2022,59,1,4
4156,2022,60,1,11
4157,2022,61,1,5
4158,2022,62,1,12
4159,2022,63,1,6
4160,2022,64,1,13
