Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4464,2017,2016-10-19T00:00:00,48,1
4465,2017,2016-10-19T00:00:00,49,1
4466,2017,2016-10-19T00:00:00,50,1
4467,2017,2016-10-19T00:00:00,51,1
4468,2017,2016-10-19T00:00:00,52,1
4469,2017,2016-10-19T00:00:00,53,1
4470,2017,2016-10-19T00:00:00,54,1
4471,2017,2016-10-19T00:00:00,55,1
4472,2017,2016-10-19T00:00:00,56,1
4473,2017,2016-10-19T00:00:00,57,1
4474,2017,2016-10-19T00:00:00,58,1
4475,2017,2016-10-19T00:00:00,59,1
4476,2017,2016-10-19T00:00:00,60,1
4477,2017,2016-10-19T00:00:00,61,1
4478,2017,2016-10-19T00:00:00,62,1
4479,2017,2016-10-19T00:00:00,63,1
4480,2017,2016-10-19T00:00:00,64,1
4481,2017,2016-10-22T00:00:00,1,7
4482,2017,2016-10-22T00:00:00,2,7
4483,2017,2016-10-22T00:00:00,3,7
4484,2017,2016-10-22T00:00:00,4,7
4485,2017,2016-10-22T00:00:00,5,7
4486,2017,2016-10-22T00:00:00,6,7
4487,2017,2016-10-22T00:00:00,7,7
4488,2017,2016-10-22T00:00:00,8,7
4489,2017,2016-10-22T00:00:00,9,7
4490,2017,2016-10-22T00:00:00,10,7
4491,2017,2016-10-22T00:00:00,11,7
4492,2017,2016-10-22T00:00:00,12,7
4493,2017,2016-10-22T00:00:00,13,7
4494,2017,2016-10-22T00:00:00,14,7
4495,2017,2016-10-22T00:00:00,15,7
4496,2017,2016-10-22T00:00:00,16,7
4497,2017,2016-10-22T00:00:00,17,7
4498,2017,2016-10-22T00:00:00,18,7
4499,2017,2016-10-22T00:00:00,19,7
4500,2017,2016-10-22T00:00:00,20,7
4501,2017,2016-10-22T00:00:00,21,7
4502,2017,2016-10-22T00:00:00,22,7
4503,2017,2016-10-22T00:00:00,23,7
4504,2017,2016-10-22T00:00:00,24,7
