"experiment_ID","experiment_year","fertilizer_level","fertilization_date","fertilizer_material","fertilizer_total_amount","N_in_applied_fertilizer","phosphorus_applied_fert","fertilizer_K_applied","Mg_in_applied_fertilizer","Ca_in_applied_fertilizer","S_in_applied_fertilizer","B_in_applied_fertilizer","Zn_in_applied_fertilizer","Mn_in_applied_fertilizer","Fe_in_applied_fertilizer","fertilizer_applic_method"
"LTFE_Duernast","2017",5,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-02-04","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-05-24","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",6,"2017-06-13","FE011",74.1,20,0,0,0,6.3635,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-02-04","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-05-24","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2017",7,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-02-04","FE011",296.3,80,0,0,0,25.454,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-05-24","FE011",222.2,60,0,0,0,19.0905,0,0,0,0,0,NA
"LTFE_Duernast","2017",8,"2017-06-13","FE011",148.1,40,0,0,0,12.727,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-02-04","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-05-24","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
"LTFE_Duernast","2017",9,"2017-06-13","FE050",0,0,0,0,0,0,0,0,0,0,0,NA
"LTFE_Duernast","2017",10,"2017-02-04","FE050",400,80,0,0,0,157.3,0,0,0,0,0,NA
"LTFE_Duernast","2017",10,"2017-05-24","FE050",300,60,0,0,0,117.975,0,0,0,0,0,NA
