"experiment_ID","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","byprod_removed_at_harv","obs_summary_comment"
"LTFE_Duernast",2017,9,6,"2017-08-07",9002,NA,NA
"LTFE_Duernast",2017,9,20,"2017-08-07",10058,NA,NA
"LTFE_Duernast",2017,9,34,"2017-08-07",10279,NA,NA
"LTFE_Duernast",2017,9,56,"2017-08-07",8267,NA,NA
"LTFE_Duernast",2017,10,8,"2017-08-07",7721,NA,NA
"LTFE_Duernast",2017,10,22,"2017-08-07",9304,NA,NA
"LTFE_Duernast",2017,10,36,"2017-08-07",9349,NA,NA
"LTFE_Duernast",2017,10,50,"2017-08-07",9263,NA,NA
"LTFE_Duernast",2017,11,10,"2017-08-07",9954,NA,NA
"LTFE_Duernast",2017,11,32,"2017-08-07",9813,NA,NA
"LTFE_Duernast",2017,11,46,"2017-08-07",9848,NA,NA
"LTFE_Duernast",2017,11,60,"2017-08-07",9893,NA,NA
"LTFE_Duernast",2017,12,12,"2017-08-07",10378,NA,NA
"LTFE_Duernast",2017,12,26,"2017-08-07",10171,NA,NA
"LTFE_Duernast",2017,12,48,"2017-08-07",9098,NA,NA
"LTFE_Duernast",2017,12,62,"2017-08-07",9331,NA,NA
"LTFE_Duernast",2017,13,14,"2017-08-07",8441,NA,NA
"LTFE_Duernast",2017,13,28,"2017-08-07",8961,NA,NA
"LTFE_Duernast",2017,13,42,"2017-08-07",8763,NA,NA
"LTFE_Duernast",2017,13,64,"2017-08-07",6934,NA,NA
"LTFE_Duernast",2017,14,16,"2017-08-07",9365,NA,NA
"LTFE_Duernast",2017,14,30,"2017-08-07",9693,NA,NA
"LTFE_Duernast",2017,14,44,"2017-08-07",9510,NA,NA
"LTFE_Duernast",2017,14,58,"2017-08-07",9302,NA,NA
"LTFE_Duernast",2017,15,1,"2017-08-07",2617,NA,NA
"LTFE_Duernast",2017,15,2,"2017-08-07",2236,NA,NA
"LTFE_Duernast",2017,15,23,"2017-08-07",2576,NA,NA
"LTFE_Duernast",2017,15,24,"2017-08-07",3581,NA,NA
"LTFE_Duernast",2017,15,37,"2017-08-07",2723,NA,NA
"LTFE_Duernast",2017,15,38,"2017-08-07",2728,NA,NA
